,Team,Conference,Current coach,Since,
,Northern Iowa Panthers,,Missouri Valley Conference,,Ben Jacobson,,2006–07,
,Northern Kentucky Norse,,Horizon League,,John Brannen,,2015–16,
,Northwestern Wildcats,,Big Ten Conference,,Chris Collins,,2013–14,
,Northwestern State Demons,,Southland Conference,,Mike McConathy,,1999–2000,
,Notre Dame Fighting Irish,,Atlantic Coast Conference,,Mike Brey,,2000–01,
,Oakland Golden Grizzlies,,Horizon League,,Greg Kampe,,1984–85,
,Ohio Bobcats,,Mid-American Conference,,Saul Phillips,,2014–15,
,Ohio State Buckeyes,,Big Ten Conference,,Chris Holtmann,,2017–18,
,Oklahoma Sooners,,Big 12 Conference,,Lon Kruger,,2011–12,
,Oklahoma State Cowboys,,Big 12 Conference,,Mike Boynton,,2017–18,
,Old Dominion Monarchs,,Conference USA,,Jeff Jones,,2013–14,
,Ole Miss Rebels,,Southeastern Conference,,Kermit Davis,,2018–19,
,Omaha Mavericks,,Summit League,,Derrin Hansen,,2011–12,
,Oral Roberts Golden Eagles,,Summit League,,Paul Mills,,2017–18,
,Oregon Ducks,,Pac-12 Conference,,Dana Altman,,2010–11,
,Oregon State Beavers,,Pac-12 Conference,,Wayne Tinkle,,2014–15,
,Pacific Tigers,,West Coast Conference,,Damon Stoudamire,,2016–17,
,Penn Quakers,,Ivy League,,Steve Donahue,,2015–16,
,Penn State Nittany Lions,,Big Ten Conference,,Pat Chambers,,2011–12,
,Pepperdine Waves,,West Coast Conference,,Lorenzo Romar,,2018–19,
,Pittsburgh Panthers,,Atlantic Coast Conference,,Jeff Capel III,,2018–19,
,Portland Pilots,,West Coast Conference,,Terry Porter,,2016–17,
,Portland State Vikings,,Big Sky Conference,,Barret Peery,,2017–18,
,Prairie View A&M Panthers,,Southwestern Athletic Conference,,Byron Smith,,2015–16,
,Presbyterian Blue Hose,,Big South Conference,,Dustin Kerns,,2017–18,
,Princeton Tigers,,Ivy League,,Mitch Henderson,,2011–12,
,Providence Friars,,Big East Conference,,Ed Cooley,,2011–12,
,Purdue Boilermakers,,Big Ten Conference,,Matt Painter,,2005–06,
,Purdue Fort Wayne Mastodons,,Summit League,,Jon Coffman,,2014–15,
,Quinnipiac Bobcats,,Metro Atlantic Athletic Conference,,Baker Dunleavy,,2017–18,
,Radford Highlanders,,Big South Conference,,Mike Jones,,2011–12,
,Rhode Island Rams,,Atlantic 10 Conference,,David Cox,,2018–19,
,Rice Owls,,Conference USA,,Scott Pera,,2017–18,
,Richmond Spiders,,Atlantic 10 Conference,,Chris Mooney,,2005–06,
,Rider Broncs,,Metro Atlantic Athletic Conference,,Kevin Baggett,,2012–13,
,Robert Morris Colonials,,Northeast Conference,,Andrew Toole,,2010–11,
,Rutgers Scarlet Knights,,Big Ten Conference,,Steve Pikiell,,2016–17,
,Sacramento State Hornets,,Big Sky Conference,,Brian Katz,,2008–09,
,Sacred Heart Pioneers,,Northeast Conference,,Anthony Latina,,2013–14,
,St. Bonaventure Bonnies,,Atlantic 10 Conference,,Mark Schmidt,,2007–08,
,Saint Francis Red Flash,,Northeast Conference,,Rob Krimmel,,2012–13,
,St. Francis Brooklyn Terriers,,Northeast Conference,,Glenn Braica,,2010–11,
,St. John's Red Storm,,Big East Conference,,Chris Mullin,,2015–16,
,Saint Joseph's Hawks,,Atlantic 10 Conference,,Phil Martelli,,1995–96,
,Saint Louis Billikens,,Atlantic 10 Conference,,Travis Ford,,2016–17,
,Saint Mary's Gaels,,West Coast Conference,,Randy Bennett,,2001–02,
,Saint Peter's Peacocks,,Metro Atlantic Athletic Conference,,Shaheen Holloway,,2018–19,
,Sam Houston State Bearkats,,Southland Conference,,Jason Hooten,,2010–11,
,Samford Bulldogs,,Southern Conference,,Scott Padgett,,2014–15,
,San Diego Toreros,,West Coast Conference,,Sam Scholl,,2018–19,
,San Diego State Aztecs,,Mountain West Conference,,Brian Dutcher,,2017–18,
,San Francisco Dons,,West Coast Conference,,Kyle Smith,,2016–17,
,San Jose State Spartans,,Mountain West Conference,,Jean Prioleau,,2017–18,
,Santa Clara Broncos,,West Coast Conference,,Herb Sendek,,2016–17,
,Savannah State Tigers,,Mid-Eastern Athletic Conference,,Horace Broadnax,,2005–06,
,Seattle Redhawks,,Western Athletic Conference,,Jim Hayford,,2017–18,
,Seton Hall Pirates,,Big East Conference,,Kevin Willard,,2010–11,
,Siena Saints,,Metro Atlantic Athletic Conference,,Jamion Christian,,2018–19,
,SIU Edwardsville Cougars,,Ohio Valley Conference,,Jon Harris,,2015–16,
,SMU Mustangs,,American Athletic Conference,,Tim Jankovich,,2016–17,
,South Alabama Jaguars,,Sun Belt Conference,,Richie Riley,,2018–19,
,South Carolina Gamecocks,,Southeastern Conference,,Frank Martin,,2012–13,
